date,close,type
2020-04-10,0.9510539770126344,actual
2020-04-11,0.7768189907073975,actual
2020-04-12,0.8825070261955261,actual
2020-04-13,0.7778319716453552,actual
2020-04-14,0.6619250178337097,actual
2020-04-15,0.646651029586792,actual
2020-04-16,0.6908159852027893,actual
2020-04-17,0.6607279777526855,actual
2020-04-18,0.6810960173606873,actual
2020-04-19,0.6069689989089966,actual
2020-04-20,0.538811981678009,actual
2020-04-21,0.5876590013504028,actual
2020-04-22,0.6916009783744812,actual
2020-04-23,0.6274570226669312,actual
2020-04-24,0.6342419981956482,actual
2020-04-25,0.6433290243148804,actual
2020-04-26,0.6355059742927551,actual
2020-04-27,0.5723720192909241,actual
2020-04-28,0.6612930297851562,actual
2020-04-29,0.7458400130271912,actual
2020-04-30,0.6910449862480164,actual
2020-05-01,0.7287939786911011,actual
2020-05-02,0.7158759832382202,actual
2020-05-03,0.6795349717140198,actual
2020-05-04,0.6674910187721252,actual
2020-05-05,0.6418370008468628,actual
2020-05-06,0.6225839853286743,actual
2020-05-07,0.6129779815673828,actual
2020-05-08,0.6049219965934753,actual
2020-05-09,0.6045269966125488,actual
2020-05-10,0.5370339751243591,actual
2020-05-11,0.5152729749679565,actual
2020-05-12,0.5385760068893433,actual
2020-05-13,0.5505319833755493,actual
2020-05-14,0.5691180229187012,actual
2020-05-15,0.5597519874572754,actual
2020-05-16,0.599120020866394,actual
2020-05-17,0.6129890084266663,actual
2020-05-18,0.6526700258255005,actual
2020-05-19,0.6244540214538574,actual
2020-05-20,0.5791559815406799,actual
2020-05-21,0.6089149713516235,actual
2020-05-22,0.6388750076293945,actual
2020-05-23,0.6130310297012329,actual
2020-05-24,0.5490530133247375,actual
2020-05-25,0.6008570194244385,actual
2020-05-26,0.5733069777488708,actual
2020-05-27,0.5909850001335144,actual
2020-05-28,0.5751550197601318,actual
2020-05-29,0.5794150233268738,actual
2020-05-30,0.5879330039024353,actual
2020-05-31,0.5700219869613647,actual
2020-06-01,0.5774949789047241,actual
2020-06-02,0.5646690130233765,actual
2020-06-03,0.5866209864616394,actual
2020-06-04,0.5872989892959595,actual
2020-06-05,0.6611549854278564,actual
2020-06-06,0.6224430203437805,actual
2020-06-07,0.6165779829025269,actual
2020-06-08,0.6683130264282227,actual
2020-06-09,0.6580020189285278,actual
2020-06-10,0.6448670029640198,actual
2020-06-11,0.5737419724464417,actual
2020-06-12,0.5938689708709717,actual
2020-06-13,0.608942985534668,actual
2020-06-14,0.5870770215988159,actual
2020-06-15,0.5706390142440796,actual
2020-06-16,0.5855759978294373,actual
2020-06-17,0.5815619826316833,actual
2020-06-18,0.6209560036659241,actual
2020-06-19,0.684332013130188,actual
2020-06-20,0.6435909867286682,actual
2020-06-21,0.6731489896774292,actual
2020-06-22,0.7268480062484741,actual
